매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,상장주식수,ROE(%),주당배당금
4547.0,823.0,449.0,18.09,9.88,12.66,286.51,58.51,1766.65,2365.0,12.31,19033.0,1.53,600.0,2.06,25.37,,,,
9763.0,892.0,37.0,9.14,0.38,0.33,41.16,205.61,914.34,166.0,258.23,53249.0,0.8,1400.0,3.27,799.3,,,,
15201.0,5012.0,3347.0,32.97,22.02,9.16,19.38,274.17,3538.24,1564.0,18.92,18337.0,1.61,900.0,3.04,54.52,,,,
7743.0,448.0,279.0,5.79,3.6,9.59,102.56,50.35,2255.62,2186.0,21.31,23829.0,1.96,300.0,0.64,13.6,,,,
14521.0,1104.0,835.0,7.6,5.75,9.06,724.62,,437.14,2319.0,3.98,27528.0,0.33,400.0,4.34,16.73,,,,
5497.0,26.0,-50.0,0.48,-0.9,-3.23,141.08,51.57,1041.4,-360.0,-10.59,12073.0,0.32,80.0,2.1,-20.11,,,,
15977.0,555.0,117.0,3.47,0.73,3.2,255.23,77.65,138.41,323.0,35.65,10676.0,1.08,500.0,4.35,150.62,,,,
592,-33,-332,-5.59,-56.13,-80.13,333.73,39.41,1227.26,-3534,-1.21,3383,1.27,-,-,-,,,,
169382.0,22279.0,16143.0,13.15,9.53,7.36,1296.65,,574.73,2393.0,4.93,33567.0,0.35,670.0,5.68,23.83,,,,
13571.0,417.0,-113.0,3.07,-0.83,-0.34,65.47,127.58,1737.88,-311.0,-425.69,91888.0,1.44,1000.0,0.75,-313.76,,,,
3812.0,375.0,502.0,9.85,13.18,9.18,392.65,,64.44,710.0,3.3,8098.0,0.29,150.0,6.4,58.5,,,,
1015.0,-142.0,-193.0,-14.03,-18.98,-6.93,135.37,3.81,444.13,-1837.0,-3.26,35559.0,0.17,100.0,1.67,-3.89,,,,
7749.0,243.0,130.0,3.13,1.68,4.28,127.49,91.38,1016.85,474.0,11.06,11145.0,0.47,250.0,4.77,52.75,,,,
3178.0,351.0,269.0,11.05,8.46,14.05,60.38,112.39,2012.37,1249.0,12.5,9512.0,1.64,234.0,1.5,18.45,,,,
1563,-130,-160,-8.30,-10.21,-10.27,56.83,78.91,2432.33,-2943,-6.85,35259,0.57,-,-,-,,,,
10057,1288,1010,12.81,10.04,11.47,273.20,46.22,357.52,345,6.21,3215,0.67,-,-,-,,,,
